,firing_times,position_x,position_y,position_x_pixels,position_y_pixels,hd,speed
0,44399.0,95.19358022727273,7.051067045454544,418.85175300000003,31.024694999999994,-63.8437162364491,5.758922763136786
1,44521.0,95.19358022727273,7.051067045454544,418.85175300000003,31.024694999999994,-63.8437162364491,5.758922763136786
2,51205.0,92.6013415909091,7.621469318181817,407.44590300000004,33.534465,-85.40978437993266,22.45030301813526
3,51352.0,92.6013415909091,7.621469318181817,407.44590300000004,33.534465,-85.40978437993266,22.45030301813526
4,104440.0,51.122977954545455,5.455904545454546,224.94110300000003,24.00598,-158.9461203250961,23.291393475438312
5,104972.0,51.122977954545455,5.455904545454546,224.94110300000003,24.00598,-158.9461203250961,23.291393475438312
6,158942.0,8.249777954545452,7.762909090909089,36.29902299999999,34.15679999999999,-118.87709362111642,10.544792352485375
7,163315.0,3.5695188636363633,6.756684090909087,15.705882999999996,29.729409999999987,-167.28311519194938,59.25861997058857
8,227346.0,6.817984772727273,22.984230681818175,29.999133,101.13061499999998,95.83135225938501,9.182489897459046
9,227481.0,6.817984772727273,22.984230681818175,29.999133,101.13061499999998,95.83135225938501,9.182489897459046
10,237854.0,6.718830227272727,27.259685227272723,29.562853000000004,119.94261499999999,97.39320292144761,10.921204603688489
11,268863.0,9.191030227272726,33.1476625,40.440533,145.849715,106.2495404683161,9.835411862965985
12,277741.0,7.201966590909091,35.63152613636363,31.688653000000002,156.77871499999998,132.7181515776177,15.396320310726619
13,277925.0,7.21634159090909,35.97027613636363,31.751903,158.26921499999997,126.62546040044903,10.578538943590294
14,374901.0,4.92256090909091,79.89186704545453,21.659268,351.52421499999997,150.64596668072866,23.034767614658506
15,375153.0,4.92256090909091,79.89186704545453,21.659268,351.52421499999997,150.64596668072866,23.034767614658506
16,378565.0,3.072885909090909,84.0335034090909,13.520698,369.747415,138.30067113038712,31.329621646919946
17,478548.0,79.12615977272726,97.8235034090909,348.155103,430.423415,20.734015774981,39.48822753497283
18,482175.0,82.09027340909091,95.85693522727271,361.197203,421.770515,7.865607578684037,38.13215421570863
19,482373.0,82.70212568181819,95.07815113636363,363.889353,418.343865,4.880931025197833,31.82807145915113
20,485874.0,83.44133022727273,93.91221931818183,367.14185299999997,413.213765,-3.4939572314957434,10.5085961042361
21,486166.0,83.44133022727273,93.91221931818183,367.14185299999997,413.213765,-3.4939572314957434,10.5085961042361
22,487941.0,83.62147795454547,93.4486852272727,367.93450300000006,411.17421499999995,-11.871529067717775,6.9218595112322445
23,488415.0,83.34060295454546,92.94352613636364,366.69865300000004,408.95151500000003,-30.149400314291665,18.296491611548653
24,488640.0,83.34060295454546,92.94352613636364,366.69865300000004,408.95151500000003,-30.149400314291665,18.296491611548653
25,489483.0,83.20754613636365,92.28243522727271,366.113203,406.042715,-34.795599469556876,21.014536191839245
26,493140.0,83.24038704545454,91.25984431818182,366.257703,401.543315,-49.43099620697413,12.115366134676488
27,499381.0,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
28,499479.0,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
29,499759.0,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
30,499977.0,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
31,500101.0,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
32,505034.0,82.8184893181818,85.22974204545454,364.401353,375.010865,-50.69534017763095,16.010298555178604
33,505214.0,82.78397795454545,84.8258215909091,364.249503,373.23361500000004,-52.84070684559469,12.31865385950215
