,firing_times,position_x,position_y,position_x_pixels,position_y_pixels,hd,speed
0,1.4799666666666667,95.19358022727273,7.051067045454544,418.85175300000003,31.024694999999994,-63.8437162364491,5.758922763136786
1,1.4840333333333333,95.19358022727273,7.051067045454544,418.85175300000003,31.024694999999994,-63.8437162364491,5.758922763136786
2,1.7068333333333334,92.6013415909091,7.621469318181817,407.44590300000004,33.534465,-85.40978437993266,22.45030301813526
3,1.7117333333333333,92.6013415909091,7.621469318181817,407.44590300000004,33.534465,-85.40978437993266,22.45030301813526
4,3.481333333333333,51.122977954545455,5.455904545454546,224.94110300000003,24.00598,-158.9461203250961,23.291393475438312
5,3.4990666666666668,51.122977954545455,5.455904545454546,224.94110300000003,24.00598,-158.9461203250961,23.291393475438312
6,5.298066666666666,8.249777954545452,7.762909090909089,36.29902299999999,34.15679999999999,-118.87709362111642,10.544792352485375
7,5.443833333333333,3.5695188636363633,6.756684090909087,15.705882999999996,29.729409999999987,-167.28311519194938,59.25861997058857
8,7.5782,6.817984772727273,22.984230681818175,29.999133,101.13061499999998,95.83135225938501,9.182489897459046
9,7.5827,6.817984772727273,22.984230681818175,29.999133,101.13061499999998,95.83135225938501,9.182489897459046
10,7.928466666666667,6.718830227272727,27.259685227272723,29.562853000000004,119.94261499999999,97.39320292144761,10.921204603688489
11,8.9621,9.191030227272726,33.1476625,40.440533,145.849715,106.2495404683161,9.835411862965985
12,9.258033333333334,7.201966590909091,35.63152613636363,31.688653000000002,156.77871499999998,132.7181515776177,15.396320310726619
13,9.264166666666666,7.21634159090909,35.97027613636363,31.751903,158.26921499999997,126.62546040044903,10.578538943590294
14,12.4967,4.92256090909091,79.89186704545453,21.659268,351.52421499999997,150.64596668072866,23.034767614658506
15,12.5051,4.92256090909091,79.89186704545453,21.659268,351.52421499999997,150.64596668072866,23.034767614658506
16,12.618833333333333,3.072885909090909,84.0335034090909,13.520698,369.747415,138.30067113038712,31.329621646919946
17,15.9516,79.12615977272726,97.8235034090909,348.155103,430.423415,20.734015774981,39.48822753497283
18,16.0725,82.09027340909091,95.85693522727271,361.197203,421.770515,7.865607578684037,38.13215421570863
19,16.0791,82.70212568181819,95.07815113636363,363.889353,418.343865,4.880931025197833,31.82807145915113
20,16.1958,83.44133022727273,93.91221931818183,367.14185299999997,413.213765,-3.4939572314957434,10.5085961042361
21,16.20553333333333,83.44133022727273,93.91221931818183,367.14185299999997,413.213765,-3.4939572314957434,10.5085961042361
22,16.2647,83.62147795454547,93.4486852272727,367.93450300000006,411.17421499999995,-11.871529067717775,6.9218595112322445
23,16.2805,83.34060295454546,92.94352613636364,366.69865300000004,408.95151500000003,-30.149400314291665,18.296491611548653
24,16.288,83.34060295454546,92.94352613636364,366.69865300000004,408.95151500000003,-30.149400314291665,18.296491611548653
25,16.3161,83.20754613636365,92.28243522727271,366.113203,406.042715,-34.795599469556876,21.014536191839245
26,16.438,83.24038704545454,91.25984431818182,366.257703,401.543315,-49.43099620697413,12.115366134676488
27,16.64603333333333,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
28,16.6493,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
29,16.658633333333334,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
30,16.6659,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
31,16.670033333333333,83.20485295454546,87.91548068181817,366.101353,386.82811499999997,-49.229730661705844,13.887327213006234
32,16.834466666666668,82.8184893181818,85.22974204545454,364.401353,375.010865,-50.69534017763095,16.010298555178604
33,16.840466666666668,82.78397795454545,84.8258215909091,364.249503,373.23361500000004,-52.84070684559469,12.31865385950215
34,16.844,82.78397795454545,84.8258215909091,364.249503,373.23361500000004,-52.84070684559469,12.31865385950215
35,16.8974,82.6091825,84.21663977272728,363.480403,370.553215,-54.687071189296475,20.184573552789043
36,16.907466666666668,82.59137568181819,83.70567386363635,363.402053,368.304965,-47.17485781205254,15.60290810550019
37,16.914066666666667,82.59137568181819,83.70567386363635,363.402053,368.304965,-47.17485781205254,15.60290810550019
38,17.069333333333333,83.60896659090909,82.77295795454546,367.879453,364.201015,-31.611835512068843,19.610451170179687
39,17.0728,84.20633022727273,82.11326477272726,370.507853,361.298365,-28.13848135050791,27.362670865358528
40,17.131133333333334,84.81911431818182,81.59717386363636,373.20410300000003,359.027565,-18.514622272238437,24.906673335814606
41,17.243033333333333,86.10164840909091,79.13412840909092,378.847253,348.19016500000004,-50.44327975570847,24.122443329109018
42,18.184,90.95244386363636,55.802821590909076,400.190753,245.53241499999996,-12.897790316891069,43.85221009014904
43,18.277733333333334,92.02237568181818,52.18960568181817,404.898453,229.63426499999997,-13.652168354263567,41.46374296713391
44,18.2921,92.02237568181818,52.18960568181817,404.898453,229.63426499999997,-13.652168354263567,41.46374296713391
45,18.2987,92.02237568181818,52.18960568181817,404.898453,229.63426499999997,-13.652168354263567,41.46374296713391
46,18.416133333333335,93.29877340909091,47.75961704545455,410.514603,210.142315,-25.999718222491296,42.95958158817274
47,18.424033333333334,93.29877340909091,47.75961704545455,410.514603,210.142315,-25.999718222491296,42.95958158817274
48,18.442333333333334,93.50033022727274,46.454639772727276,411.40145300000006,204.400415,-32.397632834096626,41.379957510191936
49,18.450233333333333,93.50033022727274,46.454639772727276,411.40145300000006,204.400415,-32.397632834096626,41.379957510191936
50,18.503933333333332,94.05362568181819,43.94896931818181,413.835953,193.37546499999996,-43.586447020016664,25.22305417524666
